,Id,route_distance_km,delta_time,hours,sym_hours_periods,time,distance,speed_from_node,diff_nodes,diff_dist
0,7013180891535596072,4061.0,595.0,11,1,410.5144630481276,3599.200624,8.767536708147697,1,461.79937599999994
1,-1446874864726772723,2766.0,780.0,18,5,407.2448479952169,2794.036609,6.8608273935311175,2,-28.036609000000226
2,-7109832734562886369,2021.9999999999998,322.0,7,5,226.81659196927188,1860.259233,8.201601200550707,1,161.74076699999978
3,5574536568610609787,4309.0,711.0,17,4,428.09861133863643,3055.399239,7.137138869584196,2,1253.6007610000001
4,-9022427340295022993,1819.0,324.0,18,5,181.22018654387887,1272.9681010000002,7.024427715682636,2,546.0318989999998
5,2709500498034467543,2625.0,316.0,3,9,259.5231176166162,2542.4164299999998,9.796493096063282,1,82.58357000000024
6,-4252219050551321773,5871.0,613.0,21,8,499.8027767424789,4245.364572,8.494079604098328,1,1625.6354279999996
7,6543980970329191713,3057.0,689.0,12,0,433.2429688053163,2837.102645,6.5485255371216216,1,219.89735500000006
8,-6308558524728730066,4840.0,729.0,9,3,319.48597964048446,3050.255912,9.54738582091281,4,1789.744088
9,5349031716632009753,1113.0,369.0,7,5,62.63351057496946,497.576977,7.944261345600658,3,615.4230230000001
10,9164265964619848792,3552.0,807.0,12,0,303.0648474965097,2587.761324,8.538638992203815,1,964.2386759999999
11,-9193738858234497357,4104.0,547.0,18,5,416.9488214590915,3144.2811030000003,7.541167983151376,4,959.7188969999997
12,7639678134849021252,1781.0,336.0,17,4,204.43148120412224,1595.546685,7.804799317610319,1,185.45331499999998
13,8588254177749506872,1320.0,316.0,13,0,187.4430978725667,1123.354376,5.993042095173401,1,196.645624
14,-8142175765506465346,5420.0,849.0,9,3,518.8425613299348,3838.4861,7.39817121047455,4,1581.5139
15,-8408903096968362155,3512.0,523.0,18,5,307.6980752620365,2573.079882,8.362352867526903,4,938.920118
16,8262360492496345796,2606.0,452.0,8,4,236.6291098174671,1521.355486,6.429282885666753,2,1084.644514
17,6045233828388947312,1603.0,349.0,12,0,146.83934514518754,1074.68819,7.318802661081069,2,528.3118099999999
18,8609594715264124264,3442.0,692.0,6,6,330.2416325501266,2404.501449,7.281036707675027,2,1037.4985510000001
19,-1984255353959150410,2423.0,509.00000000000006,12,0,248.34147533818944,1577.6180630000001,6.352616134101694,2,845.3819369999999
20,-633085813538112735,1636.0,383.0,16,3,250.73428034492548,1470.541238,5.864938914523507,1,165.45876199999998
21,-4104808348462816799,1990.0,346.0,14,1,241.99987810561424,1851.674292,7.651550515210951,2,138.32570800000008
22,-2184027134241919029,2013.0,436.0,13,0,288.7154358421325,1987.311406,6.88328769192184,3,25.688593999999966
23,-7324384129085155784,1168.0,330.0,17,4,179.53471635870747,1253.755821,6.9833614714104435,1,-85.75582099999997
